indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,FIN,2020,33.40077,,
FRESP.THC,FIN,2021,32.80407,,
FRESP.THC,FIN,2022,33.58727,,
FRESP.THC,FRA,2012,25.47823,,
FRESP.THC,FRA,2013,25.46776,,
FRESP.THC,FRA,2014,26.72369,,
FRESP.THC,FRA,2015,26.96964,,
FRESP.THC,FRA,2016,27.99689,,
FRESP.THC,FRA,2017,28.29149,,
FRESP.THC,FRA,2020,29.4111,,
FRESP.THC,FRA,2021,29.87066,,
FRESP.THC,FRA,2022,29.72227,,
FRESP.THC,GAB,2014,28.17955,,
FRESP.THC,GBR,2012,37.83482,,
FRESP.THC,GBR,2013,38.09837,,
FRESP.THC,GBR,2014,37.41182,,
FRESP.THC,GBR,2015,38.58997,,
FRESP.THC,GBR,2016,38.66609,,
FRESP.THC,GBR,2017,38.7491,,
FRESP.THC,GEO,2013,51.88269,,
FRESP.THC,GEO,2014,53.07682,,
FRESP.THC,GEO,2015,50.623,,
FRESP.THC,GEO,2016,52.2575,,
FRESP.THC,GEO,2017,52.6768,,
FRESP.THC,GEO,2018,52.98281,,
FRESP.THC,GEO,2019,52.38936,,
FRESP.THC,GEO,2020,53.41091,,
FRESP.THC,GEO,2021,53.26683,,
FRESP.THC,GEO,2022,53.92964,,
FRESP.THC,GHA,2015,26.06669,,
FRESP.THC,GIN,2013,9.81308,,
FRESP.THC,GMB,2018,27.2,,
FRESP.THC,GRC,2013,39.37742,,
FRESP.THC,GRC,2015,37.99723,,
FRESP.THC,GRC,2017,37.81648,,
FRESP.THC,GRC,2019,39.03929,,
FRESP.THC,GRC,2020,38.80167,,
FRESP.THC,GRC,2021,38.72685,,
FRESP.THC,GRC,2022,40.1183,,
FRESP.THC,GTM,2012,44.74474,,
FRESP.THC,GTM,2013,46.49805,UIS_EST,
FRESP.THC,GTM,2014,46.79715,,
FRESP.THC,GTM,2015,53.15615,,
FRESP.THC,GTM,2016,44.35976,,
FRESP.THC,GTM,2017,43.92713,,
FRESP.THC,GTM,2018,47.25,,
FRESP.THC,GTM,2019,41.92913,,
FRESP.THC,GTM,2020,49.41569,,
FRESP.THC,GTM,2021,62.82353,,
FRESP.THC,HND,2015,41.0628,,
FRESP.THC,HND,2017,36.43123,,
FRESP.THC,HND,2018,47.15596,UIS_EST,
FRESP.THC,HND,2019,47.81576,UIS_EST,
FRESP.THC,HRV,2012,47.71093,,
FRESP.THC,HRV,2013,47.75251,,
FRESP.THC,HRV,2014,48.90919,,
FRESP.THC,HRV,2015,48.91334,,
FRESP.THC,HRV,2016,47.74149,,
FRESP.THC,HRV,2017,48.41698,,
FRESP.THC,HRV,2018,49.00416,,
FRESP.THC,HRV,2019,48.28467,,
FRESP.THC,HRV,2020,48.99233,,
FRESP.THC,HRV,2021,48.75881,,
FRESP.THC,HRV,2022,48.44154,,
FRESP.THC,HUN,2012,30.93817,,
FRESP.THC,HUN,2013,30.32034,,
FRESP.THC,HUN,2014,30.35723,,
FRESP.THC,HUN,2015,30.83971,,
FRESP.THC,HUN,2016,30.75678,,
FRESP.THC,HUN,2017,30.48047,,
FRESP.THC,HUN,2018,27.95343,,
FRESP.THC,HUN,2019,30.00981,,
FRESP.THC,HUN,2020,28.48803,,
FRESP.THC,HUN,2021,29.30278,,
FRESP.THC,HUN,2022,28.76198,,
FRESP.THC,IDN,2016,45.48382,,
FRESP.THC,IDN,2017,45.78356,,
FRESP.THC,IDN,2018,45.78139,,
FRESP.THC,IDN,2019,43.50235,,
FRESP.THC,IDN,2020,43.5492,,
FRESP.THC,IRL,2012,44.35317,,
FRESP.THC,IRL,2013,35.25122,,
FRESP.THC,IRL,2015,36.11438,,
FRESP.THC,IRL,2017,36.30368,,
